Year,LocalityCode,LocalityName,Treatment,Plot,Method,Agrostis_capillaris,Alchemilla_glabra,Alchemilla_sp_,Alnus_incana,Andromeda_polifolia,Anemone_nemorosa,Anthoxanthum_odoratum,Aqonitium_lycoctonium,Athyrium_filix_femina,Avenella_flexuosa,Bare_ground,Bare_ground_branch,Betula_pendula,Betula_pubescens,Blechnum_spicant,Bryophyta,Calamagrostis_phragmitoides,Calamagrostis_sp,Calluna_vulgaris,Cares_flava,Carex_canescens,Carex_echinata,Carex_nigra,Carex_pallescens,Carex_pilulifera,Carex_sp_,Cerastium_fontanum,Chamaepericlymenum_suecicum,Chrysosplenium_alternifolium,Circium_heterophyllum,Cirriphyllum_piliferum,Cow_shit,Cystopteris_fragilis,Dactylorhiza_fuchsii,Dactylorhiza_maculata,Deschampsia_cespitosa,Dicranum_sp,Dryopteris_carthusiana,Dryopteris_expansa,Dryopteris_filix_mas,Empetrum_nigrum,Epilobium_angustifolium,Epilobium_hornemannii,Epilobium_montanum,Epilobium_sp_,Equisetum_arvense,Equisetum_pratense,Equisetum_sylvaticum,Eriophorum_angustifolium,Eriophorum_vaginatum,Festuca_sp,Filipendula_ulmaria,Fragaria_vesca,Galeopsis_sp_,Galeopsis_tetrahit,Geranium_sylvaticum,Geum_rivale,Geum_urbanum,Goodyera_repens,Gras_1,Gymnocarpium_dryopteris,Huperzia_selago,Hylocomiastrum_umbratum,Hylocomium_splendens,Hypericum_sp,Juniperus_communis,Lichens,Linnaea_borealis,Listera_cordata,Listera_ovata,Litter,Luzula_pilosa,Luzula_sp_,Lycopodium_annotinum,Maianthemum_bifolium,Marchantiophyta,Melampyrum_pratense,Melampyrum_sylvaticum,Melica_nutans,Milium_effusum,Molinia_caerulea,No_occurrence,Orthilia_secunda,Oxalis_acetosella,Phegopteris_connectilis,Picea_abies,Pinguicula_vulgaris,Pinus_sylvestris,Plagiochila_asplenioides,Plagiomnium_ellipticum,Plagiomnium_undulatum,Plagiothecium_laetum_curvifolium,Plagiothecium_undulatum,Pleurozium_schreberi,Poa_nemoralis,Poa_pratensis,Poaceae,Polytrichum_astrum,Pooideae_sp_,Potentilla_erecta,Ptilidium_ciliare,Ptilium_crista_castrensis,Pyrola_sp_,Ranunculus_acris,Ranunculus_repens,Rhodobryum_roseum,Rhytidiadelphus_loreus,Rhytidiadelphus_squarrosus_subpinnatus,Rhytidiadelphus_triquetrus,Rubus_chamaemorus,Rubus_idaeus,Rubus_saxatilis,Rumex_acetosa,Salix_caprea,Salix_sp_,Sciuro_hypnum_reflexum,Sciuro_hypnum_starkei,Selaginella_selaginoides,Solidago_virgaurea,Sorbus_aucuparia,Sphagnum_sp,Stellaria_graminea,Taraxacum_officinale,Trientalis_europaea,Vaccinium_myrtillus,Vaccinium_uliginosum,Vaccinium_vitis_idaea,Veronica_chamaedrys,Veronica_officinalis,Viola_sp_
2016,1KUB,namdalseid_1kub,UB,4,Observed,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KUB,namdalseid_1kub,UB,4,Point_Intercept,,,,,,,,,,38,,,,4,,1,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,16,,,3,,,,,,,15,,,,,3,,1,,,,,,,,68,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,7,,,,,
2016,1KUB,namdalseid_1kub,UB,5,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
2016,1KUB,namdalseid_1kub,UB,5,Point_Intercept,50,,,,,,,,44,54,,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,16,,,,,,,1,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KUB,namdalseid_1kub,UB,6,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1KUB,namdalseid_1kub,UB,6,Point_Intercept,1,,,,,,,,,99,,,,,,1,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,1,7,,,,1,,,15,,,,2,4,1,2,,,,,,,,66,,,3,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,
2016,1KUB,namdalseid_1kub,UB,8,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KUB,namdalseid_1kub,UB,8,Point_Intercept,,,,,,,,,,55,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,8,,,,,,,,,,,,,,,,,,,14,,,4,,,,,,,15,,,,,,2,,,,,,,,,96,,,,,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,9,,10,,,
2016,1KUB,namdalseid_1kub,UB,9,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KUB,namdalseid_1kub,UB,9,Point_Intercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,28,,,19,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,16,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,25,,,,,,,,,,,,,4,,,,,,
2016,1VBB,verdal_1vb,B,2,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,
2016,1VBB,verdal_1vb,B,2,Point_Intercept,,,,,,,,,,1,,,,,,10,,,25,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,6,,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
2016,1VBB,verdal_1vb,B,5,Observed,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1VBB,verdal_1vb,B,5,Point_Intercept,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,6,,1,,,
2016,1VBB,verdal_1vb,B,6,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2016,1VBB,verdal_1vb,B,6,Point_Intercept,,,,,,,,,,,,,,3,,10,,,,,,,,,,,,,,,,,,,,,8,,,,7,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,6,,,,,4,,,,,,,,,,,,7,,,,,,11,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,
2016,1VBB,verdal_1vb,B,7,Point_Intercept,,,,,,,,,,,,,,,,15,,,8,,,,,,,,,,,,,,,,,,14,,,,21,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,14,,,,1,,,1,,,,,,,,,,,,,,,,,,,,10,,,,3,,4,,,
2016,1VBB,verdal_1vb,B,8,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
2016,1VBB,verdal_1vb,B,8,Point_Intercept,,,,,,,,,,,,,,,,7,,,2,,,,,,,,,,,,,,,,,,4,,,,43,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,9,,,,,1,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,15,,,
2016,1VBB,verdal_1vb,B,10,Observed,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
2016,1VBB,verdal_1vb,B,10,Point_Intercept,,,,,,,,,,,,,,,,15,,,15,,,,,,,,,,,,,,,,,,6,,,,24,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,12,,,,2,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,13,,,
2016,1VBB,verdal_1vb,B,1,Observed,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2016,1VBB,verdal_1vb,B,1,Point_Intercept,,,,,,,,,,,,,,,,9,,,17,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,5,1,,,
2016,1VBB,verdal_1vb,B,2,Point_Intercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1VBB,verdal_1vb,B,3,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2016,1VBB,verdal_1vb,B,3,Point_Intercept,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,3,,,,10,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,3,22,20,,,
2016,1VBB,verdal_1vb,B,4,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
2016,1VBB,verdal_1vb,B,4,Point_Intercept,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,32,,,
2016,1VBB,verdal_1vb,B,9,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
2016,1VBB,verdal_1vb,B,9,Point_Intercept,,,,,,,,,,,,,,,,10,,,20,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,1,,,,,,,,,,,4,,,,2,,13,,,
2016,1VBUB,verdal_1vb,UB,1,Point_Intercept,,,,,,,,,,,,,,,,12,,,11,,,,,,,,,,,,,,,,,,3,,,,11,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,4,,,,,2,1,,,,,,,,,,,,,,,,,7,,,,11,,,2,15,,,,,,,,1,,,,,,,,,,,5,,,,3,1,7,,,
2016,1VBUB,verdal_1vb,UB,2,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,
2016,1VBUB,verdal_1vb,UB,2,Point_Intercept,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,16,,,,,,7,,,
2016,1VBUB,verdal_1vb,UB,3,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2016,1VBUB,verdal_1vb,UB,3,Point_Intercept,,,,,,,,,,,,,,,,12,,,10,,,,,,,,,,,,,,,,,,12,,,,12,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,11,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,
2016,1VBUB,verdal_1vb,UB,4,Observed,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1VBUB,verdal_1vb,UB,4,Point_Intercept,,,,,,,,,,,,,,,,15,,,6,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,13,,,,,,,,,,,,,10,,,,,,,,,,2,4,13,,,
2016,1VBUB,verdal_1vb,UB,5,Point_Intercept,,,,,,,,,,,,,,,,11,,,7,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,4,1,,,
2016,1VBUB,verdal_1vb,UB,6,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1VBUB,verdal_1vb,UB,6,Point_Intercept,,,,,,,,,,,,,,,,10,,,23,,,,,,,,,,,,,,,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,8,,,,4,,,,3,,,,,,,,4,,,,,,,,,,,5,,,,9,,8,,,
2016,1KB,namdalseid_1kub,B,2,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
2016,1KB,namdalseid_1kub,B,2,Point_Intercept,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KB,namdalseid_1kub,B,9,Observed,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
2016,1KB,namdalseid_1kub,B,9,Point_Intercept,,,,,,,,,,127,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,11,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,
2016,1KB,namdalseid_1kub,B,10,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1KB,namdalseid_1kub,B,10,Point_Intercept,,,,,,,,,,112,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,13,,,,,,,,,,,,,,,,,,1,,,,,16,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,
2016,1KB,namdalseid_1kub,B,1,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
2016,1KB,namdalseid_1kub,B,1,Point_Intercept,12,,,,,,,,,118,,,,33,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,4,,,5,,,,,,,16,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
2016,1KB,namdalseid_1kub,B,2,Point_Intercept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KB,namdalseid_1kub,B,4,Observed,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1KB,namdalseid_1kub,B,4,Point_Intercept,72,,,,,,,,,78,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,14,,,,,,,12,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,
2016,1KB,namdalseid_1kub,B,6,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2016,1KB,namdalseid_1kub,B,6,Point_Intercept,,,,,,,,,,211,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,14,3,,,4,,,6,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,6,,,2,,,,,,,,,,,,,,,,,,,
2016,1KB,namdalseid_1kub,B,3,Observed,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1KB,namdalseid_1kub,B,3,Point_Intercept,,,,,,,,,,36,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,11,,,,,16,1,,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,15,,2,,,
2016,1KB,namdalseid_1kub,B,5,Observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,
2016,1KB,namdalseid_1kub,B,5,Point_Intercept,1,,,,,1,,,,71,,,,,,5,,,,,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,13,,1,11,,,,,,,11,,,,,3,,1,,,,,,,,,,,2,,,,,3,,,,,,,,1,,,,,11,3,,,,,,,,,2,,,,,,,,5,,,,,
